,0
TotWlthW5,12646
DVPropertyW5,5610
TOTPENW5_aggr,5350
HValuew5_i,4787
DVHValueW5,4730
HValueW5,4689
HPropWW5,4505
PhvalW5,3021
DVPInPValW5_aggr,2465
HPriceW5,2044
DVValDBTW5_aggr,1724
HFINWW5_SUM,1668
HFINW_excENDWW5_aggr,1652
HFINWNTW5_Sum,1618
DVFFAssetsW5_aggr,1609
HphysWW5,1229
dvtotgirW5,1116
HMortGW5,1110
AllgdW5,1019
GContvlsW5,934
TotmortW5,905
DVTotNIRW5,888
OthpropvalW5_sum,880
TOTMvalW5,858
MVal1w5_i,840
MVal1W5,816
netequincannW5,808
DVGIEMPw5_AGGR,713
HHPPhys,657
PMValW5,556
DVNIEMPw5_aggr,522
DVDBRWealthValW5_aggr,499
DVBltValW5_sum,434
DVISAValW5_aggr,390
DVSaValW5_aggr,353
DVFShUKVW5_aggr,250
CASEW5,238
DVPPValw5_aggr,222
DVHseValW5_sum,222
DVCISAVW5_aggr,214
DvtotvehvalW5,210
DVValDCOSW5_aggr,203
OthMortW5_sum,198
DVTotCarVanMotBValW5,190
VEstVTotalw5_i,190
VEstVTotalW5,187
CASEW4,186
DVPFCurValW5_aggr,178
DVIISAVW5_aggr,173
DVBenefitAnnualw5_aggr,158
DVNIothIW5_aggr,146
CASEW3,142
DVCaCrValW5_aggr,142
CaseW1,142
DVCAValW5_aggr,141
DVBLtDebtW5_sum,140
DVFBondVW5_aggr,116
DVFCollVW5_aggr,109
HFINLW5_aggr,107
DVGIPPENw5_AGGR,97
DVLOSValW5_sum,94
CaseW2,93
DVNIPpenw5_aggr,88
DVLUKValW5_sum,77
DVFESHARESW5_aggr,76
HHNetIncMthW5,74
DVGISEw5_AGGR,74
DVFEShavW5_aggr,68
DVFNSValW5_aggr,62
DVNISEw5_aggr,59
Tot_LosW5_aggr,58
w5xshhwgt,56
DVInsVW5_aggr,53
YearW5,51
DVBLDValW5_sum,50
gcollvw5_i,47
DVGcollVW5,47
TOTMNEGW5,46
MNeg1w5_i,46
GCollVW5,45
MNeg1W5,43
DVGIINVw5_aggr,42
DVSPenW5_aggr,40
DVHseDebtW5_sum,39
Yearw4,37
Tot_los_exc_SLCW5_aggr,34
DVFLfEnVW5_aggr,34
DVGIothRw5_aggr,33
DVNIINVw5_aggr,32
T_LNSW5_aggr,30
DVNIothRw5_aggr,30
yearW3,27
DVFShOSVW5_aggr,25
DVGrsRentAmtAnnualw5_aggr,25
T_SLNSW5_aggr,25
DVFInfValW5_aggr,24
DVNetRentAmtAnnualw5_aggr,22
CTAmtW5,21
DVFInvOtVW5_aggr,21
HBuyYrW5,21
TOTCCw5_aggr,21
TOTHPW5_aggr,20
YearW2,19
YearW1,19
DVFInfLVW5_aggr,18
MVal2w5_i,17
DVTotOthVehValW5,17
VOValw5_i,17
VOValW5,17
MVal2W5,16
BuyLGdsTW5_sum,16
AllEndWW5,15
mendv1w5_i,14
HousGdsTW5_sum,13
MEndv1W5,12
DVPFDDVW5_aggr,12
DVLOSDebtW5_sum,11
DVCasvvW5_aggr,11
DVFLfTEVW5_aggr,11
DVFGltUKVW5_aggr,10
PEValW5,9
DVFEOptVW5_aggr,9
HousGdsOSTW5_sum,8
DVCACTvW5_aggr,8
DVPAVCUVW5_aggr,8
DVFLfSiVW5_aggr,7
DVEqRelValW5,7
DVFInfVW5_aggr,6
DVCAOdValW5_aggr,5
DVBldDebtW5_sum,4
eqvalw5_i,4
DVEqLTMW5,4
EqValW5,4
HHtotRepW5_sum,4
HAgeYrW5,4
T_bslnW5_aggr,4
RentAmountW5,3
T_FLNSW5_aggr,3
HOutW5,3
MPayM1W5,3
EqValDrW5,3
DVTotPerNPValW5,3
VPerVw5_i,3
DVKISAVW5_aggr,3
VPerVW5,3
DVEqPrUnW5,2
DVOPrValW5_sum,2
HOutw4,2
DVLUKDebtW5_sum,2
DVoiNegAnnualw5_aggr,2
DVoiGegAnnualw5_aggr,2
DVoiGmaAnnualw5_aggr,2
DVoiNmaAnnualw5_aggr,2
TotArr_excMortW5_aggr,2
DVoiNrrAnnualw5_aggr,2
DVoiGrrAnnualw5_aggr,2
MArrsV2W5,2
HOutW3,2
TOTBillArrW5_aggr,1
MVal3w5_i,1
MVal3W5,1
CTaxRedAmtW5,1
mendv2w5_i,1
DVoiNfrAnnualw5_aggr,1
DVoiGfrAnnualw5_aggr,1
HOutW2,1
HOutW1,1
MEndv2W5,1
TOTMOW5_aggr,1
EOthRVaW5,1
DVoiNopAnnualw5_aggr,1
DVoiGopAnnualw5_aggr,1
DVHoRPW5,1
prrepfixw5_i,1
DVFGltFOVW5_aggr,1
DVFLfFSVW5_aggr,1
TOTSCw5_aggr,1
PRRepfixW5,0
ESharAppW5,0
DVOPrDebtW5_sum,0
MNeg2w5_i,0
FRRepfixW5,0
DVoiNroAnnualw5_aggr,0
DVoiGroAnnualw5_aggr,0
ERvSumW5,0
EqWhenYW5,0
MNeg2W5,0
TOTLnArrW5_aggr,0
GORW5,0
MonthW5,0
HRPNSSEC3W5,0
HRPDVAge8W5,0
VOTyp1w5_i,0
VOTyp1W5,0
MArrsV1W5,0
MYLft1w5_i,0
MYLft1W5,0
MonthW4,0
HHoldTypeW5,0
gcontvbw5_i,0
GContVbW5,0
mendv6w5_i,0
mendv3w5_i,0
MEndv3W5,0
HRPDVecactW5,0
Hext1W5,0
CTTimeW5,0
monthW3,0
MReas01W5,0
HBedrmw5,0
MEndv6W5,0
DVHSizeW5,0
Ten1w5_i,0
Ten1W5,0
MonthW1,0
MonthW2,0
HRPDVMrDfW5,0
VEstVTotalBw5_i,0
HRPEdLevelW5,0
EPrValW5,0
NumAdultW5,0
gcollecw5_i,0
GCollecW5,0
MPayM2W5,0
DVPriRntW5,0
HRPDVILO3aW5,0
HseTypeW5,0
DVERvrecNetAnnualw5,0
MEndv4W5,0
mendv4w5_i,0
HHOwnF,0
NumHHldrW5,0
OfinalW5,0
VpersW5,0
VPerSw5_i,0
HBFromW5,0
HRPSexW5,0
HRPEdAttn2W5,0
HRPEdAttn3W5,0
Equity_YNw5_i,0
EqYesW5,0
HSharew5_i,0
HShareW5,0
CTInstalW5,0
RentPeriodW5,0
LLordW5,0
HRPEdAttn1W5,0
VCarNw5_i,0
VCarNW5,0
HAgeBW5,0
AccomW5,0
HHOSchW5,0
MEndv5W5,0
mendv5w5_i,0
HRTBevW5,0
INEQUIVW5,0
NoUnitsW5,0
VOTpNW5,0
HRPIOut1W5,0
NumMPartW5,0
HSharePW5,0
HSharePw5_i,0
FurnW5,0
CTaxRedW5,0
DVErecNetAnnualw5,0
MInc1W5,0
mtype1w5_i,0
MType1W5,0
HBuySeW5,0
DBurdHW5,0
VType1w5_i,0
VType1W5,0
ineqfac_sumW5,0
TOTHPArrW5_aggr,0
DVHasCarW5,0
TiedW5,0
MArr2Yr1W5,0
MAll1w5_i,0
MAll1W5,0
HRPPartIOut1W5,0
TOTMOArrW5_aggr,0
NumAdISwW5,0
MPastSPA1W5,0
MName1W5,0
NumCh18W5,0
NumDepChW5,0
MJname02W5,0
HHownW5,0
mendv8w5_i,0
NumChildW5,0
VOVlBw5_i,0
MIntRate1W5,0
MChgeW5,0
MExtnW5,0
MNumbw5_i,0
MNumbW5,0
MHowPy1W5,0
MArrs1W5,0
MNumbw5_iflag,0
MReas02W5,0
MPayM3W5,0
MJname01W5,0
NumNoElChW5,0
MPP1W5,0
MW2Chk1W5,0
MEndv11W5,0
mendv11w5_i,0
DVErecGrossAnnualw5,0
NumElChW5,0
MNumbOW5,0
MIntFix1W5,0
FltTypW5,0
MYLft2w5_i,0
MYLft2W5,0
NumCPartW5,0
mendv7w5_i,0
MReas12W5,0
MIntPaid1W5,0
VType2W5,0
VType2w5_i,0
MOname1W5,0
MYPastSPA1W5,0
AnyotherpropW5_Aggr,0
VOTyp2w5_i,0
VOTyp2W5,0
HHdebtIncRatW5,0
MNumbNW5,0
mendw1w5_i,0
MEndw1W5,0
DVoiNgtAnnualw5_aggr,0
DVoiGgtAnnualw5_aggr,0
MArrCl01W5,0
HHDBurdHvW5,0
MEndy1W5,0
MinvW1W5,0
HValBW5,0
HHTotRepIncRatW5,0
dar2plus_numW5,0
HHar2plusW5,0
MExtRs1W5,0
mendvb1w5_i,0
HHPDW5,0
PropOthMortW5_Aggr,0
PropDVBltValW5_Aggr,0
HHHb2plusW5,0
dhb2plus_numW5,0
MAllTy1w5_i,0
MAllty1W5,0
MInc6W5,0
mtype2w5_i,0
MType2W5,0
HHBillonlyw5,0
billcredkeepno_NumW5,0
PropDVHseValW5_Aggr,0
HHPDSolvW5,0
MReas03W5,0
MValB1W5,0
DVHasVanW5,0
DVHasMotBW5,0
PhysBuyLGdsTW5_aggr,0
HHBillCredNoW5,0
PropDVBLtDebtW5_Aggr,0
MAll2w5_i,0
MArr2Yr2W5,0
MAll2W5,0
eqtype1w5_i,0
MJname19W5,0
MPastSPA2W5,0
HHPDSolvonlyW5,0
MName2W5,0
MYLft3w5_i,0
EqType1W5,0
PropDVLOSValW5_Aggr,0
PhysHousGdsTW5_aggr,0
MInc2W5,0
MReas23W5,0
EqWhenMW5,0
HHPDliqW5,0
MYLft3W5,0
VEstVTotalBW5,0
Hext2W5,0
MIntRate2W5,0
ervprpw5_i,0
ErvPrpW5,0
MEndx1W5,0
PhysHousGdsOSTW5_aggr,0
HPriceBW5,0
MReas13W5,0
MHowPy2W5,0
MArrs2W5,0
darcr2plus_numW5,0
mendnum1w5_i,0
Mendnum1W5,0
HHPDliqonlyW5,0
PropDVHseDebtW5_Aggr,0
MJname18W5,0
MW2Chk2W5,0
VType3w5_i,0
VType3W5,0
HHArcr2plusW5,0
MPP2W5,0
prreppcw5_i,0
eqvalbw5_i,0
MYLft1w5_iflag,0
VOTyp3W5,0
VOTyp3w5_i,0
MVal1w5_iflag,0
MIntFix2W5,0
VEstVTotalw5_iflag,0
GCollVbW5,0
eintratw5_i,0
ERecW5,0
erecw5_i,0
MReas04W5,0
MInc3W5,0
HHCronlyw5,0
MEndy2W5,0
HHPDLiqsolvW5,0
PropDVLUKValW5_Aggr,0
MEndVb1W5,0
MIntPaid2W5,0
MArrCl02W5,0
gcollvw5_iflag,0
PRReppcW5,0
MPayB1W5,0
eqdraww5_i,0
EqDrawW5,0
MChgeNumW5,0
PropDVLOSDebtW5_Aggr,0
MInc11W5,0
PropDVBlDValW5_Aggr,0
BridLn1W5,0
VOValw5_iflag,0
MNegB1W5,0
EIntRatW5,0
MJname36W5,0
mtype3w5_i,0
mendvb2w5_i,0
MArrsV3W5,0
MType3W5,0
MEndw2W5,0
Hext3W5,0
mendw2w5_i,0
EqOldW5,0
MJname03W5,0
MEndy3W5,0
AccOthW5,0
MAll3w5_i,0
NumCivPtrW5,0
MOname2W5,0
MAll3W5,0
MArr2Yr3W5,0
MName3W5,0
EIntW5,0
eintw5_i,0
VOVlBw5_iflag,0
MPastSPA3W5,0
prrepayw5_i,0
MExtRs2W5,0
EPrvPayW5,0
MPolicy1W5,0
PRRepayW5,0
gcontvbw5_iflag,0
VEstVTotalBw5_iflag,0
MinvW2W5,0
VPerVw5_iflag,0
MReas06W5,0
EqNewW5,0
MReas07W5,0
EMSPayW5,0
MIntRate3W5,0
mtype1w5_iflag,0
MAll1w5_iflag,0
MReas05W5,0
MHowPy3W5,0
MYPastSPA2W5,0
BridLn2W5,0
EOthRegW5,0
EIntFixW5,0
MArrs3W5,0
MPP3W5,0
MNeg1w5_iflag,0
MReas24W5,0
EPrPerW5,0
VOVlBW5,0
MW2Chk3W5,0
MValB2W5,0
MJname35W5,0
mendv1w5_iflag,0
MArrCl12W5,0
Hext4W5,0
MIntFix3W5,0
MYIfCh1W5,0
MYLft2w5_iflag,0
MIntPaid3W5,0
PropDVBldDebtW5_Aggr,0
MInc4W5,0
EqValDrBW5,0
MVal2w5_iflag,0
PropDVLUKDebtW5_Aggr,0
PropDVOPrValW5_Aggr,0
ERvRentW5,0
MAllty2W5,0
MAllTy2w5_i,0
eintratw5_iflag,0
MAllTy1w5_iflag,0
mendw1w5_iflag,0
MExtRs3W5,0
MEndy11W5,0
MEndw3W5,0
mendw3w5_i,0
mendvb3w5_i,0
Equity_YNw5_iflag,0
VOTyp4W5,0
VOTyp4w5_i,0
MEndy6W5,0
MJname04W5,0
MYPastSPA3W5,0
mendvb6w5_i,0
MPayB2W5,0
ervreg1w5_i,0
ERvReg1W5,0
mtype2w5_iflag,0
MEndVb2W5,0
SharAppW5,0
PropDVOPrDebtW5_Aggr,0
eqtype1w5_iflag,0
MOname3W5,0
gcollecw5_iflag,0
MinvW3W5,0
MReas14W5,0
MAll2w5_iflag,0
MVal3w5_iflag,0
erecTaxw5_i,0
VCarNw5_iflag,0
prreppcw5_iflag,0
ERecTaxW5,0
MYLft3w5_iflag,0
MPayB3W5,0
mendv2w5_iflag,0
prrepfixw5_iflag,0
erecmpdw5_i,0
MJname20W5,0
mendnum2w5_i,0
Mendnum2W5,0
mendvb4w5_i,0
MAll3w5_iflag,0
ERecMPDW5,0
ERvSumBW5,0
MValB3W5,0
prrepayw5_iflag,0
MPolicy2W5,0
VTypew5_iflag,0
MEndx2W5,0
MInc5W5,0
BridLn3W5,0
MEndy7W5,0
MEndy8W5,0
mendvb5w5_i,0
MEndy4W5,0
MNegB2W5,0
EqValBW5,0
MEndVb6W5,0
MYIfCh2W5,0
ERvReg2W5,0
ervreg2w5_i,0
ErvTaxw5_i,0
ERvTaxW5,0
mtype3w5_iflag,0
erecmbyw5_i,0
MNeg2w5_iflag,0
mendvb1w5_iflag,0
EqType2W5,0
eqtype2w5_i,0
mendvb2w5_iflag,0
mendnum1w5_iflag,0
ERvRecPDW5,0
ErvRecPdw5_i,0
mendvb8w5_i,0
MEndVb8W5,0
Ten1w5_iflag,0
HSharew5_iflag,0
MEndx3W5,0
Mendnum3W5,0
mendvb11w5_i,0
mendnum3w5_i,0
eqvalw5_iflag,0
mendv6w5_iflag,0
mendw2w5_iflag,0
erecTaxw5_iflag,0
mendv7w5_iflag,0
mendv8w5_iflag,0
MEndVb7W5,0
mendvb7w5_i,0
